gender,lsoa_11,count,count_all,rate
Female,E01006591,30,761,3.94
Male,E01006591,13,733,1.77
Female,E01006592,32,806,3.97
Male,E01006592,15,726,2.07
Female,E01006593,22,746,2.95
Male,E01006593,,718,0.7
Female,E01006594,21,623,3.37
Male,E01006594,12,615,1.95
Female,E01006595,24,878,2.73
Male,E01006595,11,787,1.4
Female,E01006596,17,664,2.56
Male,E01006596,14,669,2.09
Female,E01006597,38,874,4.35
Male,E01006597,15,785,1.91
Female,E01006598,29,758,3.83
Male,E01006598,14,676,2.07
Female,E01006599,28,790,3.54
Male,E01006599,9,657,1.37
Female,E01006600,36,681,5.29
Male,E01006600,11,624,1.76
Female,E01006603,39,806,4.84
Male,E01006603,18,695,2.59
Female,E01006604,39,792,4.92
Male,E01006604,9,673,1.34
Female,E01006605,28,725,3.86
Male,E01006605,11,757,1.45
Female,E01006606,33,753,4.38
Male,E01006606,15,766,1.96
Female,E01006607,38,755,5.03
Male,E01006607,15,698,2.15
Female,E01006608,16,547,2.93
Male,E01006608,12,544,2.21
Female,E01006609,17,645,2.64
Male,E01006609,7,673,1.04
Female,E01006610,39,808,4.83
Male,E01006610,9,749,1.2
Female,E01006611,19,680,2.79
Male,E01006611,13,678,1.92
Female,E01006612,24,695,3.45
Male,E01006612,30,703,4.27
Female,E01006613,41,623,6.58
Male,E01006613,19,624,3.04
Female,E01006614,22,665,3.31
Male,E01006614,8,625,1.28
Female,E01006615,11,681,1.62
Male,E01006615,,657,0.61
Female,E01006616,24,642,3.74
Male,E01006616,9,669,1.35
Female,E01006617,40,763,5.24
Male,E01006617,14,652,2.15
Female,E01006618,48,807,5.95
Male,E01006618,14,765,1.83
Female,E01006619,25,776,3.22
Male,E01006619,13,672,1.93
Female,E01006620,31,685,4.53
Male,E01006620,11,636,1.73
Female,E01006621,22,783,2.81
Male,E01006621,16,775,2.06
Female,E01006622,23,624,3.69
Male,E01006622,14,619,2.26
Female,E01006623,24,672,3.57
Male,E01006623,15,686,2.19
Female,E01006624,33,621,5.31
Male,E01006624,14,638,2.19
Female,E01006625,29,738,3.93
Male,E01006625,9,677,1.33
Female,E01006626,20,656,3.05
Male,E01006626,11,662,1.66
Female,E01006627,19,608,3.12
Male,E01006627,15,621,2.42
Female,E01006628,32,1227,2.61
Male,E01006628,15,1237,1.21
Female,E01006629,45,705,6.38
Male,E01006629,12,701,1.71
Female,E01006630,61,1101,5.54
Male,E01006630,22,944,2.33
Female,E01006632,64,895,7.15
Male,E01006632,30,922,3.25
Female,E01006633,48,677,7.09
Male,E01006633,30,702,4.27
Female,E01006637,17,376,4.52
Male,E01006637,15,333,4.5
Female,E01006638,29,578,5.02
Male,E01006638,22,491,4.48
Female,E01006639,29,656,4.42
Male,E01006639,16,580,2.76
Female,E01006640,38,819,4.64
Male,E01006640,14,805,1.74
Female,E01006641,29,574,5.05
Male,E01006641,17,573,2.97
Female,E01006642,26,594,4.38
Male,E01006642,9,532,1.69
Female,E01006643,34,504,6.75
Male,E01006643,9,416,2.16
Female,E01006644,34,554,6.14
Male,E01006644,17,570,2.98
Female,E01006645,19,323,5.88
Male,E01006645,,284,1.41
Female,E01006646,38,1334,2.85
Male,E01006646,33,1602,2.06
Female,E01006647,42,1076,3.9
Male,E01006647,18,997,1.81
